Order ID,Customer,Product,Category,Quantity,Price,Date
ORD0001,Nikita,Protein Powder,Fitness,3,2500,2026-07-23
ORD0002,Mohit,File Folder,Stationery,3,300,2026-02-05
ORD0003,Pallavi,Belt,Accessories,3,800,2026-07-27
ORD0004,Sanya,Curtains,Home Utility,4,2000,2026-01-12
ORD0005,Harish,Headphones,Electronics,5,3200,2026-06-08
ORD0006,Devendra,Whiteboard Marker,Stationery,1,250,2026-06-11
ORD0007,Rahul,Vacuum Cleaner,Home Utility,5,8000,2026-06-02
ORD0008,Chirag,Dress,Apparel,5,2500,2026-05-22
ORD0009,Anita,Smartwatch,Electronics,3,12000,2026-06-23
ORD0010,Vikram,Desk Lamp,Home Utility,4,1200,2026-06-20
ORD0011,Trisha,Microwave Oven,Kitchenware,3,12000,2026-07-08
ORD0012,Pooja,Knife Set,Kitchenware,3,1200,2026-07-27
ORD0013,Pallavi,Calendar Planner,Stationery,2,500,2026-03-29
ORD0014,Radhika,Tablet,Electronics,3,25000,2026-04-27
ORD0015,Nikita,Watch,Accessories,3,5000,2026-06-18
ORD0016,Aarti,Toaster,Kitchenware,3,1800,2026-01-02
ORD0017,Chhavi,Yoga Mat,Fitness,2,1200,2026-03-15
ORD0018,Meera,Laptop,Electronics,5,55000,2026-03-14
ORD0019,Parth,Sunglasses,Accessories,1,2500,2026-05-08
ORD0020,Devendra,Resistance Bands,Fitness,5,600,2026-06-02
ORD0021,Varun,Iron,Home Utility,4,2500,2026-03-17
ORD0022,Meera,Dinner Set,Kitchenware,4,5000,2026-06-17
ORD0023,Sanya,Running Shoes,Footwear,5,3500,2026-05-12
ORD0024,Naveen,Smartwatch,Electronics,3,12000,2026-05-06
ORD0025,Ravi,Jacket,Apparel,2,3500,2026-02-24
ORD0026,Abhishek,Protein Powder,Fitness,4,2500,2026-05-06
ORD0027,Anjali,Coffee Mug,Kitchenware,3,250,2026-06-09
ORD0028,Vandana,Refrigerator,Home Utility,3,45000,2026-04-25
ORD0029,Anil,Highlighter Pack,Stationery,3,200,2026-07-14
ORD0030,Jyoti,Hoodie,Apparel,2,1800,2026-01-13
ORD0031,Mohit,Dress,Apparel,2,2500,2026-01-20
ORD0032,Ishita,Highlighter Pack,Stationery,2,200,2026-03-22
ORD0033,Yogesh,Sticky Notes,Stationery,4,100,2026-07-03
ORD0034,Divya,Knife Set,Kitchenware,4,1200,2026-01-26
ORD0035,Lokesh,Scarf,Accessories,3,700,2026-06-03
ORD0036,Pallavi,Pen Set,Stationery,4,150,2026-02-23
ORD0037,Devendra,Dumbbells,Fitness,4,2000,2026-06-12
ORD0038,Rekha,Watch,Accessories,1,5000,2026-04-22
ORD0039,Ishita,File Folder,Stationery,2,300,2026-01-27
ORD0040,Manish,Hoodie,Apparel,3,1800,2026-02-14
ORD0041,Harish,Hoodie,Apparel,5,1800,2026-02-09
ORD0042,Shreya,File Folder,Stationery,1,300,2026-01-25
ORD0043,Rohit,Sports Gloves,Fitness,1,800,2026-04-20
ORD0044,Bhavna,Jeans,Apparel,4,2000,2026-03-30
ORD0045,Ashok,Resistance Bands,Fitness,4,600,2026-05-22
ORD0046,Ajay,Calendar Planner,Stationery,5,500,2026-03-29
ORD0047,Sneha,Power Bank,Electronics,3,1500,2026-05-04
ORD0048,Swati,Power Bank,Electronics,2,1500,2026-02-15
ORD0049,Chhavi,Coffee Mug,Kitchenware,5,250,2026-01-10
ORD0050,Jyoti,Tablet,Electronics,5,25000,2026-06-25
ORD0051,Gaurav,Bedsheet,Home Utility,5,1500,2026-03-15
ORD0052,Sanya,Highlighter Pack,Stationery,2,200,2026-07-03
ORD0053,Jyoti,T-shirt,Apparel,3,699,2026-02-01
ORD0054,Mohit,Knife Set,Kitchenware,4,1200,2026-06-20
